cicid,i94yr,i94mon,i94cit,i94res,i94port,arrdate,i94mode,i94addr,depdate,i94bir,i94visa,count,dtadfile,visapost,occup,entdepa,entdepd,entdepu,matflag,biryear,dtaddto,gender,insnum,airline,admnum,fltno,visatype
2752883,2016,4,373,509,DET,20559,1,NY,20562,34,2,1,20160415,CPT,,G,O,,M,1982,10142016,M,,AA,93605219730,1428,B2
239999,2016,4,126,324,FTL,20546,1,NY,20551,16,2,1,20160402,,,G,O,,M,2000,6302016,F,,IB,55516920333,6253,WT
4805034,2016,4,582,582,HOU,20569,1,PA,20573,40,1,1,20160425,MEX,,G,O,,M,1976,10242016,F,,UA,94493820830,1085,B1
6055103,2016,4,252,209,AGA,20572,1,GU,20577,27,2,1,20160801,,,A,D,,M,1989,6112016,M,3943,TW,51096490633,311,GMT
216657,2016,4,696,696,FTL,20545,1,FL,,54,2,1,20160401,CRS,,G,,,,1962,9302016,F,,2D,92513113030,406,B2
2495693,2016,4,117,117,NYC,20558,1,FL,20560,34,1,1,20160414,,,O,O,,M,1982,7122016,,,S3,56121848933,1515,WB
2929149,2016,4,213,213,LVG,20560,1,NC,20634,61,2,1,20160416,DUB,,G,O,,M,1955,10152016,M,,LH,93722980130,428,B2
4462449,2016,4,689,689,ORL,20567,1,FL,20580,26,2,1,20160423,SPL,,G,O,,M,1990,10222016,F,,DL,94296987730,196,B2
800571,2016,4,687,687,PSP,20548,1,FL,20570,56,2,1,20160404,BNS,,G,O,,M,1960,10032016,M,,AR,92753974630,1304,B2
692716,2016,4,245,245,NEW,20548,1,NJ,20651,32,1,1,20160404,BEJ,,G,O,,M,1984,10032016,M,,CA,92724527630,819,B1
5472659,2016,4,209,209,NEW,20573,1,NY,20579,8,2,1,20160429,,,G,O,,M,2008,7272016,M,,UA,59478726133,78,WT
999282,2016,4,129,129,MIA,20550,1,FL,20553,59,1,1,20160406,,,G,O,,M,1957,7042016,M,,AM,55739427433,428,WB
2572618,2016,4,528,528,MIA,20558,1,FL,20562,38,2,1,20160414,TGG,,G,O,,M,1978,10102016,M,,AA,93535414630,1504,B2
4269184,2016,4,123,123,NEW,20567,1,NY,20580,43,2,1,20160423,,,G,O,,M,1973,7212016,M,,UA,59129343233,17,WT
861557,2016,4,209,209,SDP,20549,1,,20552,46,2,1,20160405,,,G,I,,M,1970,7032016,M,,JL,55663229533,66,WT
2863583,2016,4,689,689,MIA,20559,1,FL,20569,10,2,1,20160415,SPL,,G,O,,M,2006,10142016,F,,JJ,93639696430,8094,B2
5973747,2016,4,252,209,SAI,20552,1,,20554,65,2,1,20160615,,,A,D,,M,1951,5222016,M,3971,DL,47291108533,298,GMT
4842142,2016,4,689,689,ORL,20569,1,FL,20578,34,2,1,20160425,RDJ,,G,O,,M,1982,10242016,M,,DL,94478592130,196,B2
2955388,2016,4,438,438,VCV,20560,1,CA,20567,46,1,1,20160416,,,O,O,,M,1970,7142016,,,UA,56253023933,595,WB
1592228,2016,4,135,135,DUB,20553,1,VT,20562,52,2,1,20160409,,,G,O,,M,1964,7072016,F,,EI,55851398233,139,WT
3108700,2016,4,129,129,BOS,20561,1,CA,20577,33,2,1,20160417,,,G,O,,M,1983,7152016,M,,IB,56316455333,6165,WT
5287221,2016,4,258,258,PEM,20572,3,IL,20709,25,2,1,20160428,CLG,,Z,I,,M,1991,10272016,M,,,94718272030,LAND,B2
4455709,2016,4,687,687,NYC,20567,1,NY,20573,19,2,1,20160423,BNS,,G,O,,M,1997,10222016,M,,AR,94326241230,1300,B2
36661,2016,4,135,135,LOS,20545,1,FL,20619,31,2,1,20160401,,,T,I,,M,1985,9302016,M,,NZ,666555185,6,B2
2655122,2016,4,689,689,LOS,20558,1,CA,20572,58,2,1,20160414,SPL,,G,O,,M,1958,10132016,M,,CM,93458299030,302,B2
2873671,2016,4,746,158,NYC,20559,1,MA,20575,66,2,1,20160415,MOS,,G,O,,M,1950,10142016,M,,SU,93628587330,102,B2
2053392,2016,4,438,438,LOS,20555,1,CA,20556,28,2,1,20160411,,,O,Q,,M,1988,7092016,,,NZ,56000849833,6,WT
450692,2016,4,123,123,NEW,20547,1,FL,20564,34,2,1,20160403,,,G,O,,M,1982,7012016,F,,UA,55533602833,71,WT
1840249,2016,4,213,213,SEA,20554,1,WA,20589,68,2,1,20160410,NWD,,G,O,,M,1948,10092016,F,,EK,93178962330,227,B2
4086972,2016,4,209,209,SFR,20566,1,CA,20577,44,2,1,20160422,,,G,O,,M,1972,7202016,F,,UA,59095791433,876,WT
2686134,2016,4,123,123,NYC,20558,1,NY,20564,21,2,1,20160415,,,G,O,,M,1995,7132016,F,,FI,56173576333,615,WT
4299497,2016,4,148,112,NYC,20567,1,NY,20574,31,2,1,20160423,,,G,O,,M,1985,7212016,F,,AF,59155706633,10,WT
6030826,2016,4,252,209,AGA,20567,1,GU,20570,33,2,1,20160701,,,A,D,,M,1983,6062016,M,,UA,47840421033,150,GMT
3148387,2016,4,209,209,TAM,20561,1,CA,20565,35,1,1,20160417,,,G,O,,M,1981,7152016,M,,UA,56311693233,838,WB
1787495,2016,4,111,111,MIA,20554,1,FL,20563,29,2,1,20160410,,,O,O,,M,1987,7082016,,,LA,55957078033,3502,WT
2522724,2016,4,148,112,NEW,20558,1,NY,20562,36,2,1,20160414,,,G,O,,M,1980,7122016,F,,LH,56143790133,402,WT
3293058,2016,4,691,691,MIA,20561,1,FL,20565,42,1,1,20160417,BGT,,G,O,,M,1974,10162016,M,,AV,93801103030,30,B1
4507487,2016,4,135,135,ORL,20568,1,FL,20582,12,2,1,20160424,,,G,O,,M,2004,7222016,M,,BA,59208926433,2039,WT
3599863,2016,4,582,582,HOU,20563,1,TX,20639,42,3,1,20160419,MEX,,G,Q,,M,1974,D/S,F,,WN,93991159230,2831,F1
832555,2016,4,130,130,NEW,20549,1,,20550,60,2,1,20160405,,,G,O,,M,1956,7032016,M,,UA,55684476033,1625,WT
2351028,2016,4,209,209,FTL,20557,1,CA,20560,60,2,1,20160413,,,G,I,,M,1956,7112016,M,,JL,56083095933,66,WT
4032526,2016,4,107,107,BOS,20566,1,MA,20581,18,2,1,20160422,KRK,,G,O,,M,1998,10212016,F,,LH,94272655730,420,B2
5418580,2016,4,103,103,SFR,20573,1,CA,20581,44,2,1,20160429,VNN,,G,O,,M,1972,10282016,F,,TK,94912342330,79,B2
243918,2016,4,130,130,PSP,20546,1,IL,20548,72,1,1,20160402,,,G,O,,M,1944,6302016,M,,RS,55484208133,7597,WB
1186211,2016,4,135,135,ORL,20551,1,FL,20563,46,2,1,20160407,,,G,O,,M,1970,7052016,M,,VS,55781134933,15,WT
4469436,2016,4,694,694,MIA,20567,1,FL,20576,63,2,1,20160423,LMA,,G,O,,M,1953,10222016,F,,AV,94343708330,342,B2
5234881,2016,4,135,135,LVG,20572,1,NE,20575,40,2,1,20160428,,,G,O,,M,1976,7262016,F,,VS,59413767533,85,WT
5957654,2016,4,254,276,SAI,20556,1,GU,,20,2,1,20160610,,,A,,,,1996,5262016,M,3993,7C,45114679633,3404,GMT
4243216,2016,4,691,691,NYC,20566,1,NY,20572,34,2,1,20160422,BGT,,G,O,,M,1982,10212016,F,,AV,94198855830,20,B2
2324901,2016,4,131,131,NYC,20557,1,NY,20569,64,2,1,20160413,,,O,O,,M,1952,7112016,,,LX,56090117533,14,WT
1435383,2016,4,574,206,BLA,20552,3,NE,,61,2,1,20160408,,,Z,,,,1955,8082016,F,,,87733074030,1788,B2
2887088,2016,4,111,111,MIA,20560,1,FL,20568,42,2,1,20160416,,,O,O,,M,1974,7142016,,,IB,56261607533,6123,WT
3335777,2016,4,135,135,LOS,20562,1,CA,20575,50,2,1,20160418,,,G,O,,M,1966,7162016,M,,BA,56401334033,283,WT
1860945,2016,4,368,368,WAS,20554,1,VA,20605,65,2,1,20160410,CRO,,G,O,,M,1951,10092016,F,,UA,93204610730,988,B2
3371259,2016,4,251,251,KOA,20562,1,TX,20584,24,2,1,20160418,,,O,O,,M,1992,10172016,,,AA,93889955630,1601,B2
1905596,2016,4,575,575,TAM,20554,1,FL,20560,29,2,1,20160410,SNJ,,G,I,,M,1987,10092016,M,,CM,93236238430,228,B2
2138291,2016,4,687,687,MIA,20555,1,FL,20572,51,2,1,20160411,BNS,,G,O,,M,1965,10102016,M,,JJ,93248662030,8090,B2
1636545,2016,4,254,276,SFR,20553,1,CA,20561,60,2,1,20160409,,,G,O,,M,1956,7072016,F,,KE,55874900733,23,WT
5270355,2016,4,213,213,DAL,20572,1,TX,20605,42,2,1,20160428,MDR,,G,O,,M,1974,10272016,F,,AA,94769474330,71,B2
5695448,2016,4,135,135,WAS,20574,1,VA,20585,52,2,1,20160430,,,G,O,,M,1964,7282016,M,,UA,59569665033,925,WT
5021687,2016,4,116,116,SHA,20571,1,NY,20585,25,2,1,20160427,,,G,O,,M,1991,7252016,F,,EI,59319655133,111,WT
3681899,2016,4,135,135,SFR,20564,1,CA,20575,6,2,1,20160420,,,G,O,,M,2010,7182016,F,,BA,56498360533,287,WT
95870,2016,4,528,528,NYC,20545,1,IL,20549,73,1,1,20160401,TGG,,G,O,,M,1943,9302016,M,,AA,92497858930,956,B1
2653900,2016,4,689,689,MIA,20558,1,GA,20561,43,1,1,20160414,RDJ,,G,O,,M,1973,10132016,M,,AA,93472596330,992,B1
2002746,2016,4,135,135,NYC,20555,1,NY,20557,63,1,1,20160411,,,G,O,,M,1953,7092016,M,,BA,56005677933,115,WB
289809,2016,4,245,245,SAI,20546,1,MP,20553,29,2,1,20160402,GUZ,,G,O,,M,1987,10022016,M,,OZ,92557214930,625,B2
4969309,2016,4,582,582,ATL,20570,1,VA,20586,73,2,1,20160426,MEX,,G,O,,M,1943,10252016,M,,EV,94584617530,5510,B2
3364934,2016,4,245,245,PSP,20562,1,HI,20575,58,2,1,20160418,,,O,O,,M,1958,10172016,,,MU,93880541430,571,B2
1843262,2016,4,245,245,CHI,20554,1,IN,,60,2,1,20160410,BEJ,,G,,,,1956,10092016,F,,AA,93191572030,186,B2
6053964,2016,4,252,209,AGA,20546,1,GU,20583,6,2,1,20160801,,,A,D,,M,2010,6152016,M,3691,JL,57522082933,473,GMT
2027276,2016,4,209,209,SFR,20555,1,MO,20562,71,2,1,20160411,,,G,O,,M,1945,7092016,F,,UA,55978766333,34,WT
650850,2016,4,130,130,ATL,20548,1,GA,20565,66,2,1,20160404,,,G,O,,M,1950,7022016,M,,KL,55637501433,621,WT
2926213,2016,4,209,209,SPM,20560,1,CA,20566,50,1,1,20160416,,,G,O,,M,1966,7142016,M,,UA,56248873133,34,WB
2892078,2016,4,117,117,NIA,20560,3,NY,20563,17,2,1,20160416,,,Z,O,,M,1999,7082016,,,,55922747033,419,WT
4231176,2016,4,586,586,NYC,20566,1,NJ,,68,2,1,20160422,,,O,,,,1948,10212016,,,AA,94252922630,2179,B2
3172408,2016,4,254,276,PHR,20561,3,TX,20589,36,2,1,20160417,,,Z,I,,M,1980,7152016,M,,,56299688633,LAND,WT
5044435,2016,4,135,135,MIA,20571,1,MI,20578,48,2,1,20160427,,,G,O,,M,1968,7252016,F,,AA,59362332433,1089,WT
5756066,2016,4,260,260,BLA,20574,3,OR,20576,58,2,1,20160430,MNL,,Z,K,,M,1958,10292016,F,,,94956942830,LAND,B2
1028660,2016,4,209,209,MIL,20550,1,CA,20553,41,2,1,20160406,,,G,O,,M,1975,7042016,M,,NH,55701765233,8,WT
811826,2016,4,734,120,OGG,20548,1,NY,20596,54,1,1,20160404,,,O,O,,M,1962,7022016,,,AY,55619245033,5,WB
13208,2016,4,116,116,LOS,20545,1,CA,20574,29,2,1,20160401,,,G,O,,M,1987,6292016,M,,VS,55442244033,7,WT
2295923,2016,4,689,689,FTL,20556,1,FL,20566,39,2,1,20160412,SPL,,G,O,,M,1977,10112016,F,,AD,93315697930,8704,B2
935114,2016,4,582,582,LVG,20549,1,NV,20552,39,2,1,20160405,MEX,,G,O,,M,1977,10042016,F,,Y4,92810821730,966,B2
5883463,2016,4,687,687,MIA,20574,1,FL,20589,10,2,1,20160430,BNS,,G,N,,M,2006,10292016,F,,AR,95020044230,1306,B2
3178503,2016,4,268,268,LOS,20560,1,NV,20567,48,2,1,20160417,,,G,O,,M,1968,7152016,M,,CI,56296556333,6,WT
5097572,2016,4,514,514,NYC,20571,1,NY,20586,35,2,1,20160427,KNG,,G,N,,M,1981,10262016,F,,B6,94695226130,60,B2
680812,2016,4,209,209,BOS,20548,1,MA,20552,47,1,1,20160404,,,G,O,,M,1969,7022016,M,,JL,55625892833,8,WB
5759722,2016,4,268,268,NYC,20574,1,CA,20589,25,2,1,20160430,,,G,O,,M,1991,7282016,M,,BR,59566906833,2,WT
1602004,2016,4,135,135,NYC,20553,1,NY,20626,44,1,1,20160409,BEN,,G,O,,M,1972,4082018,M,,LX,93123030030,22,E2
267021,2016,4,148,112,BOS,20546,1,MA,20553,58,2,1,20160402,,,O,O,,M,1958,6302016,,,LH,55491626833,422,WT
3111179,2016,4,130,124,NEW,20561,1,NY,20567,52,2,1,20160417,,,G,N,,M,1964,7152016,M,,SK,56309030333,907,WT
1643294,2016,4,273,273,NYC,20553,1,MN,20558,33,1,1,20160409,KLL,,G,O,,M,1983,5082016,M,,DL,93118012230,616,B1
3502393,2016,4,130,130,MIA,20563,1,FL,20570,50,2,1,20160419,,,G,O,,M,1966,7172016,M,,BA,56445077433,209,WT
5008746,2016,4,692,692,NYC,20570,1,NY,20600,71,2,1,20160426,QTO,,G,O,,M,1945,10252016,F,,EQ,94569777630,550,B2
1346007,2016,4,746,158,SPM,20551,1,TX,20566,37,1,1,20160407,MOS,,G,O,,M,1979,10062016,M,,SQ,92961751830,62,B1
4732257,2016,4,245,245,SFR,20569,1,CA,,68,2,1,20160425,CHE,,G,,,,1948,10242016,M,,UA,94498717630,8,B2
1093165,2016,4,575,575,MIA,20550,1,FL,,34,2,1,20160406,SNJ,,G,,,,1982,10052016,M,,AV,92875874830,310,B2
2720247,2016,4,209,209,HHW,20559,1,HI,20563,54,2,1,20160415,,,G,O,,M,1962,7132016,M,,JL,56212518133,792,WT
3652711,2016,4,109,109,NYC,20564,1,NY,20571,35,2,1,20160420,,,O,O,,M,1981,7182016,,,AY,56478728233,5,WT
3845208,2016,4,117,117,MIA,20565,1,FL,20579,34,2,1,20160421,,,O,O,,M,1982,7192016,,,AA,56501620133,992,WT
2514747,2016,4,135,135,ORL,20558,1,FL,20572,49,2,1,20160414,,,G,O,,M,1967,7122016,M,,VS,56155261333,15,WT
3686758,2016,4,148,112,NYC,20564,1,NY,20583,40,2,1,20160420,,,G,Q,,M,1976,7182016,M,,BA,56498600733,179,WT
5475279,2016,4,209,209,HHW,20573,1,HI,20577,39,2,1,20160429,,,G,O,,M,1977,7272016,M,,DL,59453075033,578,WT
975537,2016,4,691,691,SFR,20549,1,UN,20570,64,2,1,20160405,,,T,O,,M,1952,10042016,F,,DL,684242285,982,B2
3147418,2016,4,209,209,TAM,20561,3,TX,20562,39,2,1,20160417,,,Z,O,,M,1977,7152016,M,,,56298136733,LAND,WT
4865466,2016,4,123,123,SLC,20570,1,ID,20581,28,2,1,20160426,,,G,O,,M,1988,7242016,M,,DL,59292448533,57,WT
3898468,2016,4,251,251,NYC,20565,1,NY,20577,21,2,1,20160421,TLV,,G,O,,M,1995,10202016,F,,AZ,94138429030,608,B2
3001596,2016,4,577,577,CLT,20560,1,CA,20564,78,2,1,20160416,GTM,,G,O,,M,1938,10152016,F,,AA,93709414430,787,B2
80353,2016,4,260,260,CHI,20545,1,AZ,20555,34,1,1,20160401,SGP,,G,O,,M,1982,9302016,M,,SQ,92477571130,16,B1
5245089,2016,4,148,112,CLT,20572,1,KY,20579,55,2,1,20160428,,,G,O,,M,1961,7262016,F,,AA,59400351133,731,WT
5979647,2016,4,254,276,AGA,20552,1,GU,20556,4,2,1,20160615,,,A,D,,M,2012,5232016,M,3693,7C,45116746733,3106,GMT
4407381,2016,4,582,582,LVG,20567,1,NV,20570,64,2,1,20160423,MEX,,G,O,,M,1952,10222016,M,,Y4,94340439530,966,B2
4537062,2016,4,245,245,LOS,20568,1,CA,20580,6,2,1,20160424,,,O,O,,M,2010,10232016,,,MU,94466510530,577,B2
2301889,2016,4,694,694,MIA,20556,1,FL,20566,50,2,1,20160412,LMA,,G,O,,M,1966,10112016,M,,LA,93325169830,2514,B2
1408683,2016,4,245,245,DAL,20552,1,TX,20573,53,2,1,20160408,GUZ,,G,O,,M,1963,10072016,F,,AA,93067127130,128,B2
2161755,2016,4,123,123,NYC,20556,1,NJ,20558,60,1,1,20160412,,,O,O,,M,1956,7102016,,,DL,56029196833,47,WB
13826,2016,4,117,117,ATL,20545,1,SC,20553,44,1,1,20160401,,,G,O,,M,1972,6292016,M,,AF,55459078733,688,WB
660066,2016,4,135,135,NYC,20548,1,NY,20551,8,2,1,20160404,,,G,O,,M,2008,7022016,M,,BA,55627599633,115,WT
2369303,2016,4,254,276,SEA,20556,1,NV,20562,69,2,1,20160413,,,G,O,,M,1947,7112016,F,,KE,56064428933,17,WT
873857,2016,4,251,251,SFR,20549,1,CA,20557,41,1,1,20160405,TLV,,G,O,,M,1975,10042016,F,,UA,92790569830,955,B1
3814096,2016,4,687,687,MIA,20564,1,FL,20571,29,2,1,20160420,BNS,,G,O,,M,1987,10192016,M,,4M,94018598830,4520,B2
835775,2016,4,135,135,ATL,20549,1,,20561,73,2,1,20160405,,,O,O,,M,1943,7032016,,,BA,55689254633,227,WT
2914164,2016,4,148,112,NEW,20560,1,IN,20567,53,1,1,20160416,,,G,O,,M,1963,7142016,F,,UA,56242884633,865,WB
5133426,2016,4,575,575,LVG,20571,1,NV,20576,23,2,1,20160427,SNJ,,G,O,,M,1993,10262016,M,,CM,94694135330,252,B2
4025365,2016,4,691,691,MIA,20565,1,FL,20586,80,2,1,20160421,BGT,,G,O,,M,1936,10202016,F,,AA,94169246530,916,B2
4255430,2016,4,111,111,NYC,20567,1,FL,20568,40,2,1,20160423,,,O,I,,M,1976,10222016,,,SE,94379753530,60,B2
2943425,2016,4,254,276,LOS,20560,1,CA,20563,60,2,1,20160416,,,G,O,,M,1956,7142016,M,,KE,56245473233,17,WT
4709156,2016,4,148,112,CLT,20569,1,SC,20594,37,1,1,20160425,,,G,O,,M,1979,7232016,M,,AA,59230068433,705,WB
1006905,2016,4,135,135,DUB,20550,1,MA,20554,23,1,1,20160406,,,G,O,,M,1993,7032016,F,,EI,688750485,139,WB
2859612,2016,4,689,689,MIA,20559,1,MS,20565,23,2,1,20160415,BRA,,G,O,,M,1993,10142016,F,,AA,93560920930,214,B2
22388,2016,4,129,129,MIA,20545,1,FL,20559,48,2,1,20160401,,,G,O,,M,1968,6292016,F,,SWQ,55412637633,3182,WT
17786,2016,4,123,123,NYC,20545,1,NE,20556,31,1,1,20160401,,,O,O,,M,1985,6292016,,,VS,55455177333,9,WB
3529728,2016,4,213,213,SEA,20563,1,WA,20623,61,2,1,20160419,HYD,,G,K,,M,1955,10182016,M,,EK,93950913030,227,B2
4499590,2016,4,131,131,LOS,20568,1,CA,20594,6,2,1,20160424,,,G,O,,M,2010,7222016,F,,LX,59213716033,40,WT
1999678,2016,4,135,135,BLA,20555,3,WA,20640,33,2,1,20160411,,,Z,K,,M,1983,7082016,F,,,771019485,LAND,WT
475483,2016,4,135,135,LOS,20547,1,CA,20550,43,1,1,20160403,,,O,O,,M,1973,7012016,,,AA,55577931933,135,WB
1389098,2016,4,148,112,NYC,20552,1,NY,20562,34,2,1,20160408,,,G,O,,M,1982,7062016,M,,AB,55800377533,7450,WT
5284360,2016,4,254,276,HHW,20572,1,HI,20576,11,2,1,20160428,,,G,O,,M,2005,7262016,M,,OZ,59403464133,232,WT
354216,2016,4,579,579,HOU,20546,1,FL,20553,26,2,1,20160402,MNG,,G,O,,M,1990,10012016,M,,UA,92551407830,1423,B2
5500240,2016,4,245,245,LOS,20573,1,CA,20584,76,2,1,20160429,SHG,,G,O,,M,1940,10282016,F,,DL,94914920030,186,B2
2870032,2016,4,694,694,FTL,20559,1,MD,20667,62,2,1,20160415,LMA,,G,O,,M,1954,10142016,M,,NK,93571215030,978,B2
54324,2016,4,209,209,LOS,20545,1,HI,20550,59,2,1,20160401,,,G,N,,M,1957,6292016,F,,DL,55428572033,278,WT
5135218,2016,4,579,579,MIA,20571,1,CA,20664,50,2,1,20160427,MNG,,G,O,,M,1966,10262016,F,,AA,94685347230,928,B2
4406725,2016,4,582,582,HOU,20567,1,CA,20596,75,2,1,20160423,MEX,,G,O,,M,1941,10222016,M,,UA,94349434830,1089,B2
2473547,2016,4,691,691,MIA,20557,1,FL,20564,63,1,1,20160413,BGT,,G,O,,M,1953,10122016,M,,LA,93446381530,3502,B1
688605,2016,4,213,213,EPI,20548,3,WA,20549,40,1,1,20160404,CLG,,Z,K,,M,1976,10032016,M,,,92764352130,LAND,B1
1379698,2016,4,135,135,ORL,20552,1,FL,20566,52,2,1,20160408,,,G,O,,M,1964,7062016,M,,VS,55824383133,71,WT
1396100,2016,4,209,209,HHW,20552,1,HI,20556,46,2,1,20160408,,,G,O,,M,1970,7062016,F,,NH,55809818233,184,WT
2711123,2016,4,148,112,NEW,20559,1,CA,20577,56,2,1,20160415,,,G,O,,M,1960,7132016,F,,LH,56202440333,408,WT
3636229,2016,4,687,687,LOS,20563,1,FL,20580,84,2,1,20160419,BNS,,G,O,,M,1932,10182016,F,,AR,93937669030,1302,B2
6058513,2016,4,252,209,SAI,20572,1,,20576,71,2,1,20160801,,,A,D,,M,1945,6112016,F,3979,DL,57524231533,298,GMT
2343856,2016,4,164,164,LVG,20557,1,NV,20574,45,2,1,20160413,SAR,,G,O,,M,1971,10122016,M,,WK,93446710630,6,B2
5492918,2016,4,213,213,PHI,20573,1,PA,20576,17,2,1,20160429,NWD,,G,O,,M,1999,10282016,M,,LH,94879945530,426,B2
4866976,2016,4,126,126,NEW,20570,1,NY,20581,26,2,1,20160426,,,G,O,,M,1990,7242016,F,,UA,59284210433,65,WT
3507228,2016,4,135,135,NYC,20563,1,NY,20567,23,2,1,20160419,,,G,O,,M,1993,7172016,M,,VS,56452762833,25,WT
5913269,2016,4,438,438,HHW,20567,2,,,61,2,1,20160510,,,A,,,,1955,7212016,F,3468,,86789538028,,WT
4526989,2016,4,209,209,CHI,20568,1,TN,20572,48,2,1,20160424,,,G,O,,M,1968,7222016,M,,JL,59170067033,10,WT
1496112,2016,4,582,582,FTL,20552,1,TX,20638,66,2,1,20160408,MEX,,G,O,,M,1950,10072016,F,,AM,93022637730,2682,B2
5062245,2016,4,209,209,LOS,20571,1,CA,20576,42,2,1,20160427,,,G,O,,M,1974,7252016,M,,AA,59369087333,26,WT
5016696,2016,4,111,111,NYC,20571,1,NY,20575,36,2,1,20160427,,,G,O,,M,1980,7252016,F,,SE,59361635833,30,WT
3106766,2016,4,123,123,MIA,20561,1,FL,20564,57,2,1,20160417,,,O,O,,M,1959,7152016,,,BW,56305518633,484,WT
